回号,抽せん日,当せん番号,BOX,直近BOX3回
第0247回,1997/04/11,537,357,
第0248回,1997/04/15,193,139,
第0249回,1997/04/18,624,246,
第0250回,1997/04/22,180,018,
第0251回,1997/04/25,227,227,第0222回
第0252回,1997/04/29,004,004,第0241回
第0253回,1997/05/02,616,166,第0071回
第0254回,1997/05/06,238,238,"第0075回, 第0076回"
第0255回,1997/05/09,770,077,"第0115回, 第0142回"
第0256回,1997/05/13,088,088,
第0257回,1997/05/16,935,359,第0246回
第0258回,1997/05/20,447,447,第0113回
第0259回,1997/05/23,216,126,第0155回
第0260回,1997/05/27,061,016,"第0104回, 第0132回"
第0261回,1997/05/30,596,569,
第0262回,1997/06/03,042,024,第0050回
第0263回,1997/06/06,839,389,"第0038回, 第0160回, 第0206回"
第0264回,1997/06/10,362,236,"第0011回, 第0180回"
第0265回,1997/06/13,928,289,第0046回
第0266回,1997/06/17,972,279,"第0006回, 第0077回"
第0267回,1997/06/20,093,039,"第0024回, 第0203回"
第0268回,1997/06/24,024,024,"第0050回, 第0262回"
第0269回,1997/06/27,782,278,"第0055回, 第0197回, 第0245回"
第0270回,1997/07/01,793,379,第0088回
第0271回,1997/07/04,823,238,"第0075回, 第0076回, 第0254回"
第0272回,1997/07/08,783,378,第0141回
第0273回,1997/07/11,526,256,第0098回
第0274回,1997/07/15,854,458,"第0025回, 第0122回, 第0177回"
第0275回,1997/07/18,806,068,"第0106回, 第0243回"
第0276回,1997/07/22,385,358,"第0110回, 第0150回"
第0277回,1997/07/25,632,236,"第0011回, 第0180回, 第0264回"
第0278回,1997/07/29,877,778,
第0279回,1997/08/01,891,189,"第0137回, 第0164回, 第0195回"
第0280回,1997/08/05,326,236,"第0180回, 第0264回, 第0277回"
第0281回,1997/08/08,907,079,"第0045回, 第0196回"
第0282回,1997/08/12,743,347,"第0014回, 第0198回"
第0283回,1997/08/15,940,049,"第0125回, 第0229回"
第0284回,1997/08/19,588,588,第0065回
第0285回,1997/08/22,760,067,
第0286回,1997/08/26,272,227,"第0222回, 第0251回"
第0287回,1997/08/29,925,259,"第0136回, 第0159回, 第0226回"
第0288回,1997/09/02,144,144,"第0082回, 第0238回"
第0289回,1997/09/05,838,388,
第0290回,1997/09/09,167,167,"第0112回, 第0201回"
第0291回,1997/09/12,085,058,
第0292回,1997/09/16,737,377,
第0293回,1997/09/19,663,366,第0116回
第0294回,1997/09/23,107,017,"第0168回, 第0190回"
第0295回,1997/09/26,075,057,"第0068回, 第0153回, 第0157回"
第0296回,1997/09/30,880,088,第0256回
第0297回,1997/10/03,144,144,"第0082回, 第0238回, 第0288回"
第0298回,1997/10/06,104,014,"第0059回, 第0228回, 第0244回"
第0299回,1997/10/08,155,155,
第0300回,1997/10/10,126,126,"第0155回, 第0259回"
第0301回,1997/10/13,330,033,
第0302回,1997/10/15,001,001,
第0303回,1997/10/17,497,479,
第0304回,1997/10/20,399,399,
第0305回,1997/10/22,367,367,
第0306回,1997/10/24,748,478,
第0307回,1997/10/27,690,069,
第0308回,1997/10/29,519,159,第0022回
第0309回,1997/10/31,777,777,
第0310回,1997/11/03,575,557,
第0311回,1997/11/05,104,014,"第0228回, 第0244回, 第0298回"
第0312回,1997/11/07,068,068,"第0106回, 第0243回, 第0275回"
第0313回,1997/11/10,069,069,第0307回
第0314回,1997/11/12,242,224,第0152回
第0315回,1997/11/14,137,137,第0234回
第0316回,1997/11/17,218,128,第0194回
第0317回,1997/11/19,190,019,"第0015回, 第0093回"
第0318回,1997/11/21,537,357,第0247回
第0319回,1997/11/24,395,359,"第0246回, 第0257回"
第0320回,1997/11/26,598,589,"第0029回, 第0183回"
第0321回,1997/11/28,429,249,第0184回
第0322回,1997/12/01,064,046,第0158回
第0323回,1997/12/03,375,357,"第0247回, 第0318回"
第0324回,1997/12/05,805,058,第0291回
第0325回,1997/12/08,531,135,"第0123回, 第0169回, 第0205回"
第0326回,1997/12/10,930,039,"第0024回, 第0203回, 第0267回"
第0327回,1997/12/12,980,089,"第0060回, 第0181回"
第0328回,1997/12/15,736,367,第0305回
第0329回,1997/12/17,543,345,
第0330回,1997/12/19,179,179,"第0016回, 第0027回, 第0154回"
第0331回,1997/12/22,196,169,第0105回
第0332回,1997/12/24,167,167,"第0112回, 第0201回, 第0290回"
第0333回,1997/12/26,238,238,"第0076回, 第0254回, 第0271回"
第0334回,1997/12/29,480,048,第0041回
第0335回,1998/01/05,950,059,
第0336回,1998/01/07,551,155,第0299回
第0337回,1998/01/09,632,236,"第0264回, 第0277回, 第0280回"
第0338回,1998/01/12,704,047,
第0339回,1998/01/14,152,125,"第0067回, 第0145回, 第0215回"
第0340回,1998/01/16,992,299,第0056回
第0341回,1998/01/19,259,259,"第0159回, 第0226回, 第0287回"
第0342回,1998/01/21,686,668,
第0343回,1998/01/23,997,799,
第0344回,1998/01/26,035,035,
第0345回,1998/01/28,513,135,"第0169回, 第0205回, 第0325回"
第0346回,1998/01/30,000,000,
第0347回,1998/02/02,718,178,第0208回
第0348回,1998/02/04,394,349,"第0121回, 第0182回, 第0186回"
第0349回,1998/02/06,431,134,第0207回
第0350回,1998/02/09,638,368,"第0057回, 第0124回, 第0175回"
第0351回,1998/02/11,417,147,"第0074回, 第0083回, 第0239回"
第0352回,1998/02/13,038,038,第0236回
第0353回,1998/02/16,996,699,
第0354回,1998/02/18,750,057,"第0153回, 第0157回, 第0295回"
第0355回,1998/02/20,487,478,第0306回
第0356回,1998/02/23,852,258,"第0019回, 第0235回"
第0357回,1998/02/25,756,567,
第0358回,1998/02/27,469,469,第0143回
第0359回,1998/03/02,277,277,
第0360回,1998/03/04,965,569,第0261回
第0361回,1998/03/06,965,569,"第0261回, 第0360回"
第0362回,1998/03/09,640,046,"第0158回, 第0322回"
第0363回,1998/03/11,458,458,"第0122回, 第0177回, 第0274回"
第0364回,1998/03/13,908,089,"第0060回, 第0181回, 第0327回"
第0365回,1998/03/16,887,788,
第0366回,1998/03/18,841,148,
第0367回,1998/03/20,778,778,第0278回
第0368回,1998/03/23,805,058,"第0291回, 第0324回"
第0369回,1998/03/25,135,135,"第0205回, 第0325回, 第0345回"
第0370回,1998/03/27,091,019,"第0015回, 第0093回, 第0317回"
第0371回,1998/03/30,798,789,"第0028回, 第0072回"
第0372回,1998/04/01,202,022,"第0048回, 第0211回"
第0373回,1998/04/03,417,147,"第0083回, 第0239回, 第0351回"
第0374回,1998/04/06,409,049,"第0125回, 第0229回, 第0283回"
第0375回,1998/04/08,994,499,
第0376回,1998/04/10,274,247,第0012回
第0377回,1998/04/13,155,155,"第0299回, 第0336回"
第0378回,1998/04/15,075,057,"第0157回, 第0295回, 第0354回"
第0379回,1998/04/17,649,469,"第0143回, 第0358回"
第0380回,1998/04/20,820,028,"第0051回, 第0107回, 第0131回"
第0381回,1998/04/22,885,588,"第0065回, 第0284回"
第0382回,1998/04/24,606,066,第0242回
第0383回,1998/04/27,081,018,第0250回
第0384回,1998/04/29,690,069,"第0307回, 第0313回"
第0385回,1998/05/01,332,233,"第0151回, 第0167回"
第0386回,1998/05/04,578,578,第0039回
第0387回,1998/05/06,396,369,第0070回
第0388回,1998/05/08,227,227,"第0222回, 第0251回, 第0286回"
第0389回,1998/05/11,275,257,"第0030回, 第0062回"
第0390回,1998/05/13,956,569,"第0261回, 第0360回, 第0361回"
第0391回,1998/05/15,066,066,"第0242回, 第0382回"
第0392回,1998/05/18,426,246,第0249回
第0393回,1998/05/20,029,029,"第0069回, 第0209回"
第0394回,1998/05/22,729,279,"第0006回, 第0077回, 第0266回"
第0395回,1998/05/25,440,044,
第0396回,1998/05/27,963,369,"第0070回, 第0387回"
第0397回,1998/05/29,345,345,第0329回
第0398回,1998/06/01,274,247,"第0012回, 第0376回"
第0399回,1998/06/03,816,168,"第0037回, 第0091回, 第0179回"
第0400回,1998/06/05,596,569,"第0360回, 第0361回, 第0390回"
第0401回,1998/06/08,354,345,"第0329回, 第0397回"
第0402回,1998/06/10,058,058,"第0291回, 第0324回, 第0368回"
第0403回,1998/06/12,431,134,"第0207回, 第0349回"
第0404回,1998/06/15,109,019,"第0093回, 第0317回, 第0370回"
第0405回,1998/06/17,891,189,"第0164回, 第0195回, 第0279回"
第0406回,1998/06/19,222,222,
第0407回,1998/06/22,042,024,"第0050回, 第0262回, 第0268回"
第0408回,1998/06/24,237,237,
第0409回,1998/06/26,400,004,"第0241回, 第0252回"
第0410回,1998/06/29,866,668,第0342回
第0411回,1998/07/01,636,366,"第0116回, 第0293回"
第0412回,1998/07/03,514,145,第0221回
第0413回,1998/07/06,910,019,"第0317回, 第0370回, 第0404回"
第0414回,1998/07/08,737,377,第0292回
第0415回,1998/07/10,834,348,
第0416回,1998/07/13,001,001,第0302回
第0417回,1998/07/15,371,137,"第0234回, 第0315回"
第0418回,1998/07/17,429,249,"第0184回, 第0321回"
第0419回,1998/07/20,723,237,第0408回
第0420回,1998/07/22,427,247,"第0012回, 第0376回, 第0398回"
第0421回,1998/07/24,402,024,"第0262回, 第0268回, 第0407回"
第0422回,1998/07/27,495,459,"第0144回, 第0218回, 第0232回"
第0423回,1998/07/29,367,367,"第0305回, 第0328回"
第0424回,1998/07/31,043,034,"第0010回, 第0040回"
第0425回,1998/08/03,535,355,第0172回
第0426回,1998/08/05,618,168,"第0091回, 第0179回, 第0399回"
第0427回,1998/08/07,159,159,"第0022回, 第0308回"
第0428回,1998/08/10,512,125,"第0145回, 第0215回, 第0339回"
第0429回,1998/08/12,641,146,
第0430回,1998/08/14,652,256,"第0098回, 第0273回"
第0431回,1998/08/17,219,129,"第0018回, 第0023回, 第0210回"
第0432回,1998/08/19,163,136,
第0433回,1998/08/21,255,255,
第0434回,1998/08/24,698,689,第0090回
第0435回,1998/08/26,161,116,
第0436回,1998/08/28,244,244,第0191回
第0437回,1998/08/31,727,277,第0359回
第0438回,1998/09/02,235,235,第0231回
第0439回,1998/09/04,605,056,"第0111回, 第0120回, 第0233回"
第0440回,1998/09/07,520,025,"第0020回, 第0114回, 第0213回"
第0441回,1998/09/09,196,169,"第0105回, 第0331回"
第0442回,1998/09/11,174,147,"第0239回, 第0351回, 第0373回"
第0443回,1998/09/14,198,189,"第0195回, 第0279回, 第0405回"
第0444回,1998/09/16,107,017,"第0168回, 第0190回, 第0294回"
第0445回,1998/09/18,087,078,"第0007回, 第0214回"
第0446回,1998/09/21,531,135,"第0325回, 第0345回, 第0369回"
第0447回,1998/09/23,453,345,"第0329回, 第0397回, 第0401回"
第0448回,1998/09/25,785,578,"第0039回, 第0386回"
第0449回,1998/09/28,048,048,"第0041回, 第0334回"
第0450回,1998/09/30,033,033,第0301回
第0451回,1998/10/02,423,234,"第0008回, 第0009回"
第0452回,1998/10/05,666,666,
第0453回,1998/10/07,102,012,第0192回
第0454回,1998/10/09,713,137,"第0234回, 第0315回, 第0417回"
第0455回,1998/10/12,612,126,"第0155回, 第0259回, 第0300回"
第0456回,1998/10/14,887,788,第0365回
第0457回,1998/10/16,189,189,"第0279回, 第0405回, 第0443回"
第0458回,1998/10/19,383,338,"第0058回, 第0230回"
第0459回,1998/10/21,620,026,"第0064回, 第0129回, 第0219回"
第0460回,1998/10/23,150,015,第0004回
第0461回,1998/10/26,190,019,"第0370回, 第0404回, 第0413回"
第0462回,1998/10/28,292,229,"第0013回, 第0043回, 第0240回"
第0463回,1998/10/30,994,499,第0375回
第0464回,1998/11/02,086,068,"第0243回, 第0275回, 第0312回"
第0465回,1998/11/04,095,059,第0335回
第0466回,1998/11/06,256,256,"第0098回, 第0273回, 第0430回"
第0467回,1998/11/09,882,288,"第0080回, 第0084回, 第0185回"
第0468回,1998/11/11,687,678,
第0469回,1998/11/13,949,499,"第0375回, 第0463回"
第0470回,1998/11/16,577,577,
第0471回,1998/11/18,301,013,第0079回
第0472回,1998/11/20,616,166,"第0071回, 第0253回"
第0473回,1998/11/23,407,047,第0338回
第0474回,1998/11/25,041,014,"第0244回, 第0298回, 第0311回"
第0475回,1998/11/27,583,358,"第0110回, 第0150回, 第0276回"
第0476回,1998/11/30,111,111,
第0477回,1998/12/02,498,489,"第0026回, 第0148回"
第0478回,1998/12/04,277,277,"第0359回, 第0437回"
第0479回,1998/12/07,962,269,"第0081回, 第0133回, 第0199回"
第0480回,1998/12/09,335,335,
第0481回,1998/12/11,550,055,
第0482回,1998/12/14,818,188,第0227回
第0483回,1998/12/16,075,057,"第0295回, 第0354回, 第0378回"
第0484回,1998/12/18,899,899,"第0047回, 第0100回"
第0485回,1998/12/21,485,458,"第0177回, 第0274回, 第0363回"
第0486回,1998/12/23,932,239,
第0487回,1998/12/25,856,568,
第0488回,1998/12/28,115,115,第0212回
第0489回,1998/12/30,618,168,"第0179回, 第0399回, 第0426回"
第0490回,1999/01/04,634,346,第0034回
第0491回,1999/01/06,995,599,第0138回
第0492回,1999/01/08,931,139,第0248回
第0493回,1999/01/11,385,358,"第0150回, 第0276回, 第0475回"
第0494回,1999/01/13,153,135,"第0345回, 第0369回, 第0446回"
第0495回,1999/01/15,827,278,"第0197回, 第0245回, 第0269回"
第0496回,1999/01/18,028,028,"第0107回, 第0131回, 第0380回"
第0497回,1999/01/20,595,559,第0130回
第0498回,1999/01/22,211,112,"第0204回, 第0220回"
第0499回,1999/01/25,012,012,"第0192回, 第0453回"
第0500回,1999/01/27,679,679,"第0089回, 第0171回, 第0174回"
第0501回,1999/01/29,640,046,"第0158回, 第0322回, 第0362回"
第0502回,1999/02/01,929,299,"第0056回, 第0340回"
第0503回,1999/02/03,782,278,"第0245回, 第0269回, 第0495回"
第0504回,1999/02/05,947,479,第0303回
第0505回,1999/02/08,480,048,"第0041回, 第0334回, 第0449回"
第0506回,1999/02/10,993,399,第0304回
第0507回,1999/02/12,172,127,"第0127回, 第0217回"
第0508回,1999/02/15,295,259,"第0226回, 第0287回, 第0341回"
第0509回,1999/02/17,831,138,第0126回
第0510回,1999/02/19,253,235,"第0231回, 第0438回"
第0511回,1999/02/22,914,149,第0003回
第0512回,1999/02/24,947,479,"第0303回, 第0504回"
第0513回,1999/02/26,900,009,
第0514回,1999/03/01,122,122,
第0515回,1999/03/03,286,268,
第0516回,1999/03/05,583,358,"第0276回, 第0475回, 第0493回"
第0517回,1999/03/08,287,278,"第0269回, 第0495回, 第0503回"
第0518回,1999/03/10,402,024,"第0268回, 第0407回, 第0421回"
第0519回,1999/03/12,658,568,第0487回
第0520回,1999/03/15,493,349,"第0182回, 第0186回, 第0348回"
第0521回,1999/03/17,535,355,"第0172回, 第0425回"
第0522回,1999/03/19,073,037,"第0031回, 第0085回, 第0087回"
第0523回,1999/03/22,532,235,"第0231回, 第0438回, 第0510回"
第0524回,1999/03/24,036,036,"第0033回, 第0095回, 第0134回"
第0525回,1999/03/26,919,199,"第0156回, 第0189回"
第0526回,1999/03/29,357,357,"第0247回, 第0318回, 第0323回"
第0527回,1999/03/31,593,359,"第0246回, 第0257回, 第0319回"
